Date,BAC C-to-C,JPM C-to-C,IBM C-to-C,MSFT C-to-C,XOM C-to-C,AA C-to-C,AXP C-to-C,DD C-to-C,GE C-to-C,KO C-to-C,BAC O-to-C,JPM O-to-C,IBM O-to-C,MSFT O-to-C,XOM O-to-C,AA O-to-C,AXP O-to-C,DD O-to-C,GE O-to-C,KO O-to-C
2001-02-01,-1.304235396,1.081039146,1.450886125,2.032266327,-0.63542135,3.921855553,0.831679839,-1.16226843,0.266386354,-0.969409375,-1.274057679,-0.051612327,1.081630671,2.088512373,0.112410874,1.945248921,-0.255960726,-2.413637363,-0.002904492,0.399953662
2001-02-02,0.655753426,-1.549395349,-3.360067087,-2.277935357,-0.555242971,-1.339475953,1.345927137,-2.188820234,0.179468535,0.41775603,0.040268413,-0.960702822,-2.894423842,-3.111152668,-1.0019112,-0.360292391,0.100128804,-3.143960236,-0.714270303,-0.211311316
2001-02-05,-0.392013408,-0.152565098,1.835367938,1.761255973,2.107419418,-1.629238448,0.628349646,3.386017913,3.555058629,2.736948007,-1.432127957,-0.967108711,1.292692068,1.97874322,1.368279004,-2.311852193,-0.291661251,2.437331158,2.49582085,1.748760934
2001-02-06,-4.54608464,-4.391236539,1.679549583,1.05992931,-0.546627158,0.9266647,-3.034308021,-0.711791203,-0.431668937,0.270341148,-1.556960712,-3.710117365,2.657432805,0.23474827,0.08743457,-0.095258902,-2.588568669,0.393223733,0.375081424,1.26524473
2001-02-07,-2.850575903,0.375609053,2.312444281,3.346153636,0.021218696,-1.097656498,-1.192956807,-0.879721273,-1.387091027,0.921847331,-2.891440204,-1.046006263,3.57619058,2.584105644,0.515205102,-2.063073647,-2.900663274,-0.949484614,-0.745360953,0.865406781
2001-02-08,-1.38818645,-1.410268585,-2.483761687,-3.910463949,0.163431108,0.199393451,1.312803402,-1.795281592,0.38957418,1.029000636,-1.981636292,-1.495438541,-1.496304446,-1.657476662,0.158275831,0.066284207,1.104893786,-2.108202723,-0.804921777,1.704299394
2001-02-09,1.542264826,0.282973687,-1.455333902,-5.124848062,1.723617604,0.496466468,0.049249914,-0.558294342,-3.18338562,-0.794301885,1.5025203,0.527042389,-2.170793729,-3.173046476,0.55467786,1.070550618,-0.933062801,0.050177111,-1.504774902,-1.14658436
2001-02-12,1.041670773,1.848954392,2.175615541,-0.446394971,-0.060516064,-1.623556772,2.152358768,1.054059534,4.043315399,1.125335614,0.22014255,0.099434532,3.618298627,0.061582709,0.494623118,-0.590372453,1.442238544,1.447950001,3.171872022,1.888249637
2001-02-13,0.456039295,-3.126511028,-1.586058491,-0.984304242,-1.233186237,-2.183275816,-2.736073146,0.949956324,-0.393337387,-1.42353756,-0.77250244,-3.36306253,-0.985515534,-3.385538038,-0.255245872,-2.41165742,-3.425443592,2.476743336,-0.297973401,-0.07114383
2001-02-14,1.14649629,0.129587266,1.659465494,0.432916563,-0.974471237,-0.526176524,-0.14313001,-0.785360667,-2.195228571,-0.735852376,0.396492815,-0.59929686,1.155045657,1.009509047,0.206538345,-0.692955891,-0.920524547,-0.092215535,-0.581952851,-0.004186475
2001-02-15,0.351967731,-0.105016866,1.58936741,0.803548977,-1.793576449,2.654375898,0.284819611,3.390030083,3.513296256,-2.053428024,0.648650233,-1.281772388,0.106614451,0.249310359,-0.575423764,1.703148545,-0.342480108,3.515095392,3.0033139,-0.208846862
2001-02-16,0.99544398,1.622875948,-1.524726033,-2.767958086,1.94323506,-3.916291039,0.963456467,-1.848555234,-1.805373315,1.802649756,0.923406329,2.374390253,0.030492651,1.014814309,0.563625946,-3.095863632,2.176820143,-0.691135518,-0.215418006,0.928594475
2001-02-20,-4.400725291,-3.833588012,-3.21223218,-2.428094162,-0.300425206,0.777315291,-2.782567056,-1.01352899,1.507067643,-1.526984712,-3.054211972,-3.806154733,-3.583059819,-3.281787427,1.432077226,-0.502655917,-2.920278803,-2.428028493,-1.170971069,-1.039381562
2001-02-21,-2.917359752,-5.624747948,-3.420475774,0.727799836,-0.301387839,-2.551267326,-4.578998468,-0.599117566,-0.771489098,-6.245718672,-1.226605907,-3.093498309,-2.633818009,-1.402334892,-0.696479532,-2.952868404,-3.725120185,1.519608908,-1.026292033,-0.055943893
2001-02-22,0.78791092,2.127325826,1.082876175,-1.762837164,0.808169,2.794574185,1.364201731,1.948467132,-0.480288363,-3.5955105,1.821352688,2.935618954,2.681549008,-1.647649179,0.111020053,2.359323789,0.608684881,1.350336024,0.568217626,-1.721616858
2001-02-23,2.299960336,-2.357046726,-4.784840004,2.819736059,-1.041148062,-1.649423911,0.566940377,-2.87215774,-1.816751627,-1.86627732,4.034655027,0.926852894,-1.14252728,1.927046743,-0.519397748,-1.108731005,0.735404087,-2.577144299,-0.453555658,-1.200010334
2001-02-26,3.654347414,3.104238212,1.152160055,4.836581747,0.571794913,3.631128238,0.963021454,5.608479335,3.831707207,0.938694874,2.54886104,2.73502648,0.292097991,3.457742023,1.265366118,2.299940039,-0.155840774,3.898643204,3.516621445,1.015384784
2001-02-27,0.955807459,-1.982378895,-2.348061419,-0.468345494,-1.72395553,0.036571163,0.514498229,-0.552246987,0.133022658,-0.956329081,-0.350815386,-2.026124945,-2.795665187,-1.647531221,-1.774882451,-2.135160334,0.489740284,-0.067083871,0.650230602,-1.052997568
2001-02-28,-3.528060028,-2.10868508,-2.704193453,-0.603318693,-1.606345219,-0.548959577,-3.329539969,-1.194424557,-2.953320062,1.754895658,-2.435896437,-2.664371219,-3.155392678,-0.044218117,-1.726338906,-1.484980188,-3.178895205,-1.90653911,-2.703764429,1.122941411
2001-03-01,-0.367534491,-1.39086788,5.979635699,0.770503101,0.575373034,1.562894675,-2.110253329,0.126046481,-1.203332213,-0.567814911,2.08532946,-0.146648264,6.098139652,1.633681419,0.201218655,1.260672575,-0.091034162,1.007549612,-0.505941812,-1.541548158
2001-03-02,-0.613692623,-0.423445337,-3.569176876,-4.601020543,2.217916618,1.919043885,1.598627549,2.138420077,-3.041099163,0.019805193,0.976948037,0.857536589,0.853371474,-0.728830941,1.254505872,2.105375042,1.387020351,2.101794876,-1.531769099,-0.779561255
2001-03-05,0.036447729,2.086689749,2.502983001,1.345300129,0.786454583,2.913700891,-0.866853952,3.401052034,1.075762181,-4.787038723,-0.041231184,3.455994999,1.891917052,-0.210450892,1.239235432,1.630205342,-1.879458024,1.800004956,0.440919323,-2.148917058
2001-03-06,2.494262699,2.483632857,0.989175688,3.532560195,-0.360505615,-0.331753379,-0.665128317,-0.313489966,0.823395594,-0.739574361,0.478516127,0.986190632,-0.877727573,1.49019263,-0.342035451,0.093344145,-2.070396128,-0.347104795,-1.203272696,-0.499284267
2001-03-07,4.437099434,4.719276099,1.380417553,1.981833639,0.593352465,3.507523061,2.440818922,3.489326874,1.231804953,1.218500648,4.253256779,3.918135839,-0.021694878,1.766481122,0.075796067,3.05939007,1.886550335,3.188349454,-0.350635105,0.719366128
2001-03-08,1.96237544,0.0122852,-0.979589758,-2.393902366,1.671053361,-0.704456886,0.842594533,0.137376544,-0.146402554,1.6732435,0.752682375,-0.589271449,0.419061685,-1.847952811,1.005166222,0.093344145,-0.223836002,1.662631348,-0.764473873,0.412030109
2001-03-09,-1.848701105,-2.875346026,-6.923545906,-4.421441481,0.452506416,-5.229188552,-3.892861836,-1.465177007,-4.523462977,0.331957588,-0.491647734,-1.500194752,-4.204346372,-2.396533618,0.342351749,-4.652598243,-2.415468887,-1.353140302,-2.801616327,0.663586696
2001-03-12,-1.905141519,-6.790464138,-3.909535186,-8.51980621,-2.548086015,-2.704077213,-5.400007305,-3.382176632,-9.048610188,-2.400418308,-0.596614951,-2.957405465,-1.425409114,-4.884076415,-0.800003863,0.506283479,-2.957490294,-1.214562322,-8.191715794,-0.335823235
2001-03-13,5.187137853,3.587940724,3.005599015,4.296912881,-0.553282896,3.047198104,2.806654272,-0.186442159,5.56947063,-2.930183719,3.239035963,3.712070182,3.359317818,3.181803754,0.582652072,4.372810111,0.758477557,1.063542803,3.498304749,-1.044859675
2001-03-14,-4.241656806,-7.453867677,-3.523192489,-0.373108049,-0.774015487,-4.373071321,-7.987552444,-3.759847677,-3.049692593,-2.575699019,0.367727051,-0.536198833,-0.879709977,3.331148412,0.417338187,0.149825366,-1.740371025,-1.48083321,0.94684381,-0.774838624
2001-03-15,0.690540681,3.24271415,0.507662593,-0.723787659,0.251048964,0.822429824,3.457536456,-1.649294754,0.098446973,0.504684379,-0.017164344,0.647184779,-2.263848178,-2.216821642,-0.609368919,-2.382098624,-0.320060925,-1.906299001,-1.119239493,1.184851772
2001-03-16,-1.817432749,-1.545032146,-5.927987206,1.76407854,-1.278318709,-2.196737205,-4.148794577,-1.370273744,-0.930745426,1.744667355,-2.128098228,-3.642929031,-4.494585233,0.409534237,-0.445525067,-0.24863396,-4.362496824,-1.902989081,-1.645608143,3.043249307
2001-03-19,3.224392513,1.215776437,2.733096176,-0.342041276,-0.640752616,2.716184316,1.411159233,2.871305572,1.176289082,-0.473673061,2.664492019,1.122700924,1.941195053,-0.764827753,-0.496141084,2.396816777,-0.249988502,1.565533359,1.478529497,-0.719229244
2001-03-20,-2.954803119,-5.661864545,-4.766969394,-3.063301104,-0.731753108,1.033533173,-3.836874902,-0.19485005,-2.440919224,-1.94100938,-2.047093901,-3.116983701,-2.901185073,-2.604333131,-0.377532316,0.341585894,-3.479492158,1.790149406,-2.537789116,-1.404045469
2001-03-21,-0.725180503,-5.903742631,0.839943867,-5.234241723,-1.187963362,-4.790102934,-6.422091225,-1.60913794,-2.607048155,-3.10404285,-1.194678184,-4.644397694,0.530388097,-3.891936905,-1.007089926,-2.421792722,-3.953283027,-0.722556441,-1.967664795,-3.858521816
2001-03-22,-2.830371842,-3.2749893,0.161690793,7.495287204,-2.54494668,-3.61518913,-0.394776971,-4.573687367,-3.579512781,-0.610022938,-0.05968162,2.244913894,0.87736218,5.383816499,-1.865759719,-1.134032437,0.475537917,-1.762475334,0.946422943,-0.234460299
2001-03-23,6.093152141,7.082805267,4.930986847,4.926520703,-0.882755708,0.932366941,5.594760661,0.790614889,6.085524556,-0.525748742,4.227927824,3.632379451,3.380912358,3.057002269,0.241020108,-0.025315021,3.517323746,0.873512182,2.943434741,1.25430478
2001-03-26,-0.152586992,0.847114139,1.245869065,-0.77317513,1.453425419,1.336057848,2.793604723,1.742455521,0.748085958,-1.350123786,-1.705175254,-1.58540849,-0.750661182,-1.930513189,-0.22407888,0.240728106,0.167995775,0.987762325,-0.824400318,-1.307689486
2001-03-27,3.632323318,2.359810842,4.822468804,3.854446159,3.184226835,4.960290307,4.729563856,1.031213266,4.593130056,3.849951394,4.856850247,3.178578819,5.870843729,3.773956337,1.964325009,3.376967767,4.964850375,1.21033215,3.527781536,3.369426547
2001-03-28,0.075224591,-1.037287117,-5.248355822,-4.799863629,-2.673891726,-2.109191571,-1.696644018,-2.158467118,-1.265367355,-1.534200126,1.173161949,0.781934453,-3.010089077,-4.047251448,-1.443760612,0.517253215,-0.018952346,-0.474485932,-0.029753157,-2.077552025
2001-03-29,-2.249383697,0.12944983,0.658354564,-0.307095586,-0.379909945,0.093632505,-0.121572559,0.612534207,-0.55384755,-3.05185986,-0.895192103,1.776164076,0.556493329,-0.419082288,0.237079454,2.073038694,0.700290416,1.791557722,0.067299519,-1.200044404
2001-03-30,2.96795402,4.500217818,1.196079219,-1.246949031,3.032257199,2.181122877,5.865087587,-2.413894212,1.539708588,1.405974551,2.11364887,2.313271446,1.102263255,-2.459512398,1.058037921,0.908986411,-0.407520962,-0.705382339,0.282850501,1.134689686
2001-04-02,-1.304729405,-0.571592497,-1.610357063,1.983733038,-1.239098663,-1.425772107,-3.868878192,0.57474899,-0.476536537,1.320950392,0.133041405,0.707934304,-4.033694257,1.243337023,-1.935354792,-0.665832846,4.520828511,-0.870623485,-0.531920358,0.50958632
