Date,SPY realized variance,BAC realized variance,SPY-BAC realized covariance
01/02/2001,0.951295801,6.318749725,0.907560023
02/02/2001,0.963631811,1.530310629,0.131024948
05/02/2001,0.587615555,1.704638509,0.129532352
06/02/2001,0.520640954,2.13580264,0.183607669
07/02/2001,0.991927597,1.682753307,0.324999944
08/02/2001,0.863925899,1.628729852,0.102364671
09/02/2001,0.811389271,1.733906331,0.470012118
12/02/2001,0.838065608,1.062491989,0.4049605
13/02/2001,0.812077167,3.063266492,0.106141198
14/02/2001,0.935739386,2.084256519,0.411245084
15/02/2001,0.471211023,2.988316268,0.072122114
16/02/2001,0.770840882,3.963384669,0.255595413
20/02/2001,1.106840832,2.884806821,0.471042419
21/02/2001,1.906914042,3.625510803,1.496373076
22/02/2001,4.223017985,8.78400213,3.482311863
23/02/2001,3.769336726,8.260530019,3.880816067
26/02/2001,1.434862025,5.896065579,1.374752947
27/02/2001,2.013483382,8.618224196,1.789442436
28/02/2001,2.76108413,7.619711904,2.928561115
01/03/2001,3.533220744,7.20502389,2.826408635
02/03/2001,2.438675713,8.259365347,2.199898401
05/03/2001,1.062245417,4.690580955,0.998839374
06/03/2001,0.749230193,3.637683619,0.765416035
07/03/2001,1.384292486,3.308524126,0.974390423
08/03/2001,0.986965094,1.950074915,0.209372313
09/03/2001,1.838447159,2.165090198,0.615979612
12/03/2001,2.791516036,3.352585142,1.835613587
13/03/2001,2.397235019,4.969054255,2.041780285
14/03/2001,6.082976087,16.41752685,5.439109726
15/03/2001,1.538930552,3.273121106,1.227406282
16/03/2001,2.322978711,5.436570006,2.316664186
19/03/2001,1.519270653,4.907224469,1.743310349
20/03/2001,3.82828656,6.028710706,3.04716907
21/03/2001,4.006788016,10.45101431,3.941286352
22/03/2001,6.371360606,14.74301267,6.998062042
23/03/2001,3.794426663,9.366624847,3.215508428
26/03/2001,1.106006003,5.80973118,1.103835567
27/03/2001,1.373331695,9.764895888,1.416873115
28/03/2001,2.330897602,5.172546047,1.858549598
29/03/2001,2.591589271,4.745683208,2.635280535
30/03/2001,2.233898701,3.959123052,2.223451777
02/04/2001,2.168117,4.901264192,1.906502808
03/04/2001,2.877098368,5.276775218,2.235775852
04/04/2001,3.96491224,7.589933046,2.858676073
05/04/2001,1.638323231,6.079541698,1.980432516
06/04/2001,3.553344234,18.42299718,3.893454018
09/04/2001,1.476699713,3.608747749,1.379829308
10/04/2001,1.275017605,4.056495871,1.434126807
11/04/2001,1.969212327,4.028479931,1.545869483
12/04/2001,1.49714461,3.452626857,1.295655045
16/04/2001,1.222120683,5.195814514,0.444654197
17/04/2001,2.009592435,1.303530483,0.57763134
18/04/2001,9.91510392,12.69702407,1.408666319
19/04/2001,1.102032292,3.725616145,0.765091608
20/04/2001,1.028193628,2.678032035,0.8276453
23/04/2001,0.935117841,1.409948193,0.307699955
24/04/2001,1.132066627,1.2044476,0.547071887
25/04/2001,1.344566797,2.974229674,1.317879258
26/04/2001,0.950714992,2.412216873,0.785865817
27/04/2001,1.151148762,1.853394213,0.774207267
30/04/2001,0.986285782,2.727062757,0.830347437
01/05/2001,1.087381007,2.700845239,0.681232076
02/05/2001,1.481687331,2.521604189,1.025767786
03/05/2001,1.112376203,1.784803171,0.681056536
04/05/2001,1.988326575,1.485754474,1.070151932
07/05/2001,0.83497414,0.935459947,0.464122211
08/05/2001,0.866935644,0.618955341,0.366442301
09/05/2001,0.799184675,0.66106785,0.406014672
10/05/2001,0.728871731,0.691117188,0.278145706
11/05/2001,0.924618419,1.875919128,0.632673647
14/05/2001,0.559089803,0.9279311,0.404394442
15/05/2001,0.906840343,1.569482677,0.513154858
16/05/2001,1.082428115,1.536502878,0.652246385
17/05/2001,0.888729954,1.224896816,0.338087082
18/05/2001,0.560218701,1.390799466,0.335277964
21/05/2001,0.727021494,1.28470393,0.329836076
22/05/2001,0.754952049,2.422649822,0.388616407
23/05/2001,0.743298798,2.547374619,0.405806631
24/05/2001,0.896893072,2.404243647,0.817810181
25/05/2001,0.620804963,1.270444175,0.187949884
