Date,SPY realized variance,BAC realized variance,SPY-BAC realized covariance
2001-02-01,0.74522508,9.019081599,0.712780854
2001-02-02,1.014646649,1.27838969,0.261607975
2001-02-05,0.740494006,2.124839938,0.372776197
2001-02-06,0.503368299,2.450905537,0.148950164
2001-02-07,0.783841399,2.03318033,0.370755175
2001-02-08,0.715253566,1.770339058,0.232930448
2001-02-09,0.79170945,2.4982553,0.601650753
2001-02-12,0.841678186,1.341700181,0.415012901
2001-02-13,0.826219436,3.889595798,0.614549786
2001-02-14,0.947135875,2.074071004,0.231862119
2001-02-15,0.38837103,3.347348628,0.268625134
2001-02-16,1.078002719,3.444487991,0.155167559
2001-02-20,0.987854132,4.680048406,0.806168433
2001-02-21,1.656730515,5.853496741,1.754185788
2001-02-22,4.901407719,12.56221333,4.711223653
2001-02-23,3.878554105,11.96723856,4.934337833
2001-02-26,1.555466982,9.973470503,1.866665385
2001-02-27,2.226227335,10.08293437,2.733065966
2001-02-28,3.052232784,7.478162653,3.228634866
2001-03-01,3.235084954,8.82862143,3.290170568
2001-03-02,2.923868861,9.547824736,3.078030635
2001-03-05,1.064482276,5.058864665,1.375700913
2001-03-06,0.911415776,3.520531961,0.914486605
2001-03-07,1.132851604,2.874969381,0.841934124
2001-03-08,0.943195816,2.514867485,0.584089979
2001-03-09,1.969834074,2.931998912,1.345391454
2001-03-12,3.652968955,3.821083351,1.998420518
2001-03-13,3.115116718,5.157990665,2.775522948
2001-03-14,6.486474337,16.13414177,6.802904935
2001-03-15,1.065490884,4.199341494,1.245169504
2001-03-16,2.230901399,4.404869919,1.993101338
2001-03-19,1.366892047,5.044201637,1.640378907
2001-03-20,4.175255128,9.937213863,5.198833181
2001-03-21,4.098987323,10.68144058,4.139985716
2001-03-22,6.374909669,17.82001845,8.189463353
2001-03-23,3.694822454,10.35963008,3.539323615
2001-03-26,1.251724152,6.239031902,1.585474078
2001-03-27,1.716500976,10.50664584,2.514050242
2001-03-28,2.451358418,4.498075801,1.875329436
2001-03-29,2.589818093,4.930016811,2.519610959
2001-03-30,2.342026656,4.486840451,2.478860829
2001-04-02,2.48542183,5.651481461,2.522403333
2001-04-03,2.698623752,4.797659638,2.179029117
2001-04-04,4.687375324,8.729844527,4.063309968
2001-04-05,1.557306119,5.276387501,1.787600004
